sign,path
accent,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accent/65006.parquet
accent,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accent/00586.parquet
accept,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accept/00594.parquet
accept,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accept/65007.parquet
accept,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accept/00593.parquet
accept,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accept/00598.parquet
accept,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accept/00599.parquet
accept,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accept/00600.parquet
accept,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accept/00602.parquet
accept,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accept/00603.parquet
accept,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accept/00588.parquet
accept,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accept/00597.parquet
accept,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accept/00601.parquet
accept,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accept/00592.parquet
act,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/act/65014.parquet
act,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/act/00846.parquet
act,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/act/67346.parquet
act,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/act/00847.parquet
act,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/act/00851.parquet
act,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/act/00849.parquet
act,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/act/00850.parquet
actor,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/actor/00897.parquet
actor,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/actor/65017.parquet
actor,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/actor/00898.parquet
actor,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/actor/00899.parquet
actor,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/actor/00902.parquet
actor,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/actor/00903.parquet
actor,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/actor/00904.parquet
actor,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/actor/67347.parquet
actor,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/actor/00900.parquet
actor,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/actor/00901.parquet
across,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/across/00835.parquet
across,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/across/00836.parquet
across,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/across/00838.parquet
across,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/across/00840.parquet
across,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/across/00839.parquet
across,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/across/00829.parquet
across,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/across/00841.parquet
across,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/across/00842.parquet
across,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/across/00832.parquet
across,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/across/00834.parquet
address,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/address/01024.parquet
address,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/address/01018.parquet
address,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/address/01011.parquet
address,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/address/01012.parquet
address,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/address/67348.parquet
address,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/address/01016.parquet
address,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/address/01021.parquet
address,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/address/01020.parquet
adapt,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adapt/00947.parquet
adapt,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adapt/00949.parquet
adapt,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adapt/00944.parquet
adapt,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adapt/00946.parquet
adapt,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adapt/00943.parquet
adapt,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adapt/00951.parquet
adapt,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adapt/00950.parquet
action,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/action/00857.parquet
action,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/action/00853.parquet
action,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/action/00855.parquet
action,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/action/00858.parquet
action,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/action/00856.parquet
action,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/action/67345.parquet
action,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/action/00854.parquet
action,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/action/65015.parquet
accountant,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accountant/00690.parquet
accountant,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accountant/00689.parquet
accountant,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accountant/67344.parquet
accountant,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accountant/00692.parquet
accountant,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accountant/65011.parquet
accountant,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accountant/00693.parquet
accountant,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accountant/00691.parquet
accountant,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/accountant/00694.parquet
add,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/add/00967.parquet
add,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/add/00973.parquet
add,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/add/00963.parquet
add,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/add/00964.parquet
add,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/add/00972.parquet
add,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/add/00962.parquet
add,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/add/00965.parquet
add,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/add/65018.parquet
add,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/add/69205.parquet
add,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/add/00961.parquet
add,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/add/00966.parquet
active,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/active/00867.parquet
active,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/active/00874.parquet
active,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/active/00870.parquet
active,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/active/00868.parquet
active,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/active/00873.parquet
active,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/active/00872.parquet
active,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/active/00871.parquet
active,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/active/00869.parquet
activity,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/activity/00890.parquet
activity,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/activity/65016.parquet
activity,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/activity/00892.parquet
activity,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/activity/00894.parquet
activity,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/activity/68450.parquet
activity,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/activity/00893.parquet
activity,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/activity/00886.parquet
activity,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/activity/00891.parquet
adverb,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adverb/01267.parquet
adverb,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adverb/01265.parquet
adverb,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adverb/01268.parquet
adverb,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adverb/01264.parquet
adverb,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adverb/01269.parquet
adverb,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adverb/01266.parquet
adverb,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adverb/01263.parquet
adopt,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adopt/01149.parquet
adopt,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adopt/65022.parquet
adopt,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adopt/68958.parquet
adopt,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adopt/01158.parquet
adopt,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adopt/01160.parquet
adopt,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adopt/01162.parquet
adopt,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adopt/01159.parquet
adopt,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adopt/01157.parquet
adopt,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adopt/01161.parquet
adjective,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adjective/01066.parquet
adjective,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adjective/01067.parquet
adjective,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adjective/01062.parquet
adjective,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adjective/01065.parquet
adjective,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adjective/01069.parquet
adjective,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adjective/01068.parquet
adjective,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adjective/01064.parquet
advanced,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/advanced/01229.parquet
advanced,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/advanced/01227.parquet
advanced,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/advanced/01226.parquet
advanced,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/advanced/01228.parquet
advanced,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/advanced/01224.parquet
advanced,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/advanced/01230.parquet
advanced,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/advanced/01231.parquet
advantage,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/advantage/01242.parquet
advantage,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/advantage/65025.parquet
advantage,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/advantage/01244.parquet
advantage,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/advantage/01252.parquet
advantage,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/advantage/01245.parquet
advantage,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/advantage/01248.parquet
advantage,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/advantage/01247.parquet
advantage,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/advantage/01251.parquet
advantage,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/advantage/01249.parquet
adult,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adult/65024.parquet
adult,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adult/01206.parquet
adult,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adult/01194.parquet
adult,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adult/01215.parquet
adult,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adult/01207.parquet
adult,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adult/01217.parquet
adult,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adult/01216.parquet
adult,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adult/01212.parquet
adult,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adult/01209.parquet
adult,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adult/01211.parquet
adult,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adult/01208.parquet
adult,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adult/01214.parquet
adjust,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adjust/01078.parquet
adjust,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adjust/01073.parquet
adjust,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adjust/01079.parquet
adjust,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adjust/01077.parquet
adjust,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adjust/01075.parquet
adjust,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adjust/01074.parquet
adjust,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/adjust/01076.parquet
admit,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/admit/01122.parquet
admit,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/admit/01118.parquet
admit,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/admit/65021.parquet
admit,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/admit/01127.parquet
admit,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/admit/01121.parquet
admit,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/admit/01124.parquet
admit,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/admit/01120.parquet
affect,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/affect/01325.parquet
affect,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/affect/01327.parquet
affect,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/affect/01322.parquet
affect,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/affect/01320.parquet
affect,/content/drive/My Drive/WLASL parquet/landmarks_files_(alphabatically)/WLASL_300/affect/01321.parquet
